Source	Type	Identifier	Title	DateEarliest	RelationAttachments	CoverageSpatial	Description	InventoryNumber	SectionNumber	Context	Deposit	NotebookPage	Material	Category	Format	Storage	CoverageTemporal	CoverageEarliest	CoverageLatest	RightsStatus	RightsSidelined	Relation	Contributor	Coverage	Creator	Date	Language	Publisher	Rights	Subject	CoverageAltitude	CoverageArea	CoverageCRS	CoverageCoordinates	CoverageCropped	CoverageEnvelopeXYZ	CoverageEnvelopeGEO	CoverageXYZ	CoverageGEO	CoverageJSON	CoveragePosition	CoverageSerialized	CoverageUTC	CoverageUnion	DateEarliestISO8601	DateLatest	DateLatestISO8601	DateModified	DateTimeZone	DateUTC	FormatDiameter	FormatHeight	FormatImage	FormatImageAnnotations	FormatImageHeight	FormatImageModificationDate	FormatImageTransformXYZ	FormatImageTransformGEO	FormatImageEnvelopeXYZ	FormatImageEnvelopeGEO	FormatImageWidth	FormatLength	FormatMaximumDimension	FormatPreservedHeight	FormatThickness	FormatWidth	IdentifierUUID	RelationBelongsTo	RelationBelongsToUUID	RelationCuts	RelationCutsUUID	RelationIncludes	RelationIncludesUUID	RelationIsAbove	RelationIsAboveUUID	RelationIsAfter	RelationIsAfterUUID	RelationIsBefore	RelationIsBeforeUUID	RelationIsBelow	RelationIsBelowUUID	RelationIsCoevalWith	RelationIsCoevalWithUUID	RelationIsCutBy	RelationIsCutByUUID	RelationIsNextTo	RelationIsNextToUUID	RelationURLs	RightsDeleted	RightsLocked	RightsRating	RightsTrashed	Subtype	Period
ΒΘ West 2013	Artifact	1	Bronze Object	2013-06-11T06:10:12Z			Non-descript debris, thrown.					3426	Copper alloy	Bronze						All Done	0					11 juin 2013					[54.289 TO 54.289]							GEOMETRYCOLLECTION(POINT Z (406.08 357.089 54.289))	POINT (23.7227365 37.97644346)		406.08, 357.089	n=find-spot\nd=2013-06-11T06:10:42Z\nx=0X1.96147AE147AE1P+8\ny=0X1.6516C8B439581P+8\nz=0X1.B24FDF3B645A2P+5\nv=0X1.654B17E4B17E4P+6\ns=0X1.823D70A3D70A4P+3\nhz=0X1.3ADDF01234569P+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T09:10:12+0300	2013-06-11T06:10:42Z	2013-06-11T09:10:42+0300	2014-07-28T12:25:31Z	Europe/Athens	2013-06-11T06:10:12Z																	E78EC1B5-8F77-4FDC-B2BF-8873FE42BDDF	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	2	Glass Vessel Fragment	2013-06-11T08:56:50Z			Single fragment, broken at top and bottom. Conical stem segment. Upper part splaying slightly. Translucent, blue-green glass.\n\nThe findspot recorded for this object is not its original context. The object was found during cleaning of collapsed fill from the northern scarp of the trench, which had fallen down as a result of heavy rain during the previous winter.		ΒΘ 151	Cleaning collapsed North Baulk fill		3426	Glass	Glass	P.L. 0.05; Diam. ca. 0.016					All Done	0					11 juin 2013					[55.892 TO 55.892]							GEOMETRYCOLLECTION(POINT Z (413.014 356.738 55.892))	POINT (23.72281543 37.97644046)		413.014, 356.738	n=find-spot\nd=2013-06-11T09:19:57Z\nx=0X1.9D0395810624EP+8\ny=0X1.64BCED916872BP+8\nz=0X1.BF22D0E560419P+5\nv=0X1.64E740DA740DBP+6\ns=0X1.2916872B020C5P+3\nhz=0X1.500CBA9876544P+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T11:56:50+0300	2013-06-11T09:19:57Z	2013-06-11T12:19:57+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T08:56:50Z TO 2013-06-11T09:19:57Z]																	1BC82964-2B2F-4D3F-9210-3E1593C29900	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	3	Dish fragment	2013-06-11T08:57:31Z			Will not be cataloged			Cleaning collapsed North Baulk fill		3426	Ceramic	Pottery						All Done	0					11 juin 2013					[56.045 TO 56.045]							GEOMETRYCOLLECTION(POINT Z (413.15 356.773 56.045))	POINT (23.72281698 37.97644078)		413.15, 356.773	n=find-spot\nd=2013-06-11T08:59:35Z\nx=0X1.9D26666666666P+8\ny=0X1.64C5E353F7CEEP+8\nz=0X1.C05C28F5C28F6P+5\nv=0X1.611F92C5F92C6P+6\ns=0X1.287AE147AE148P+3\nhz=0X1.50E97530ECA85P+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T11:57:31+0300	2013-06-11T08:59:35Z	2013-06-11T11:59:35+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T08:57:31Z TO 2013-06-11T08:59:35Z]																	F110820B-59C0-4B80-B29C-3C35DD983156	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	4	Turkish Pipe	2013-06-11T09:31:23Z			Complete bowl, broken at shank. Blackened at inner rim. Surface spalling on one side. Lily-shaped bowl with thick everted lip, outer rim with series of vertical striations. Double groove below lip, with ogee stamps superimposed below. Keel forms triangular decorative reinforcement with four convergent bands of wedge-shaped stamps; three pendent ogee stamps on front of bowl above reinforcement.\n\nWeak red fabric (10R 5/3) with red slip (10R 4/8).\n\ncf. MC 1290, 1296 and 1298. Sarachane Type VIII.\n\nThe findspot recorded for this object is not its original context. The object was found during cleaning of collapsed fill from the northern scarp of the trench, which had fallen down as a result of heavy rain during the previous winter.		ΒΘ 144	Cleaning collapsed North Baulk fill		3426	Terracotta	Misc. Clay Objects	P.L. 0.042; H. 0.04		19th century A.D.			All Done	0					11 juin 2013					[56.2 TO 56.2]							GEOMETRYCOLLECTION(POINT Z (416.68 353.621 56.2))	POINT (23.72285725 37.97641247)		416.68, 353.621	n=find-spot\nd=2013-06-11T09:33:43Z\nx=0X1.A0AE147AE147BP+8\ny=0X1.619EF9DB22D0EP+8\nz=0X1.C19999999999AP+5\nv=0X1.5583FB72EA61DP+6\ns=0X1.58A3D70A3D70AP+2\nhz=0X1.66E962FC962FBP+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T12:31:23+0300	2013-06-11T09:33:43Z	2013-06-11T12:33:43+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T09:31:23Z TO 2013-06-11T09:33:43Z]																	EA115EC8-CF01-4266-AF10-FB4345D61B29	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	5	Turkish Pipe	2013-06-11T13:04:01Z			Single fragment, shank of Sarachane Type VIII pipe. Broken at base of bowl.\n\nShank flares to slightly convex termination. Double band of rouletting around shank and single band of rouletting at shank end.\n\nRed slip (10R 5/6).\n\ncf. ΒΘ 139.\n\nThe findspot recorded for this object is not its original context. The object was found during cleaning of collapsed fill from the northern scarp of the trench, which had fallen down as a result of heavy rain during the previous winter.		ΒΘ 145	Cleaning collapsed North Baulk fill		3426	Terracotta	Misc. Clay Objects	P.L. 0.044; Diam. (shaft opening) 0.015					All Done	0					11–12 juin 2013					[54.657 TO 54.657]							GEOMETRYCOLLECTION(POINT Z (416.361 354.404 54.657))	POINT (23.7228536 37.97641951)		416.361, 354.404	n=find-spot\nd=2013-06-12T04:25:30Z\nx=0X1.A05C6A7EF9DB2P+8\ny=0X1.62676C8B43958P+8\nz=0X1.B54189374BC6AP+5\nv=0X1.5566666666666P+6\ns=0X1.8BD70A3D70A3DP+2\nhz=0X1.612B72EA61D95P+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T16:04:01+0300	2013-06-12T04:25:30Z	2013-06-12T07:25:30+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T13:04:01Z TO 2013-06-12T04:25:30Z]																	D0AC6B17-AC7A-4C4C-BF12-B24DEE0D977B	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	6	Turkish Pipe	2013-06-11T13:04:36Z			Most of rim broken off, otherwise in good condition. Lily-shaped pipe, with keel outlined by groove. Shank flares to slightly convex termination with off-center hole in stem-socket. Double band of rouletting around shank and single band of rouletting at shank end.\n\nLight red fabric (10R 6/6) and micaceous red slip (10R 4/6).\n\ncf. MC 1283 and MC 1288. Sarachane Type VIII.\n\nThe findspot recorded for this object is not its original context. The object was found during cleaning of collapsed fill from the northern scarp of the trench, which had fallen down as a result of heavy rain during the previous winter.		ΒΘ 139	Cleaning collapsed North Baulk fill		3426	Terracotta	Misc. Clay Objects	P.L. 0.058; H. 0.04; D. (shank opening) 0.009					All Done	0					11–12 juin 2013					[54.657 TO 54.657]							GEOMETRYCOLLECTION(POINT Z (416.361 354.404 54.657))	POINT (23.7228536 37.97641951)		416.361, 354.404	n=find-spot\nd=2013-06-12T04:25:30Z\nx=0X1.A05C6A7EF9DB2P+8\ny=0X1.62676C8B43958P+8\nz=0X1.B54189374BC6AP+5\nv=0X1.5566666666666P+6\ns=0X1.8BD70A3D70A3DP+2\nhz=0X1.612B72EA61D95P+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-11T16:04:36+0300	2013-06-12T04:25:30Z	2013-06-12T07:25:30+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T13:04:36Z TO 2013-06-12T04:25:30Z]																	3AC6572A-4956-4B81-A285-C42A6F75B860	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	7	Coin	2013-06-11T13:05:51Z			19th century French		ΒΘ-210	Cleaning collapsed North Baulk fill		3426	Copper alloy	Coin			1800-1899 A.D.	1800	1899	All Done	0					11–12 juin 2013					[54.657 TO 54.657]							GEOMETRYCOLLECTION(POINT Z (416.361 354.404 54.657))	POINT (23.7228536 37.97641951)		416.361, 354.404	n=find-spot\nd=2013-06-12T04:25:30Z\nx=0X1.A05C6A7EF9DB2P+8\ny=0X1.62676C8B43958P+8\nz=0X1.B54189374BC6AP+5\nv=0X1.5566666666666P+6\ns=0X1.8BD70A3D70A3DP+2\nhz=0X1.612B72EA61D95P+8\nh=0X1.8CCCCCCCCCCCDP+0	[1800 TO 1899]		2013-06-11T16:05:51+0300	2013-06-12T04:25:30Z	2013-06-12T07:25:30+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-11T13:05:51Z TO 2013-06-12T04:25:30Z]																	757826E1-86BB-4F69-84BF-17683C480D0D	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	8	Bowl	2013-06-12T03:38:48Z			Mended from three fragments, preserving about half of bowl with full profile. Hemispherical bowl with sharply everted rim. Low ring foot. Orange fabric.\n\nDark brown stylized vegetal motif over light background at center of bowl, with a poorly preserved clear glaze over white slip on the inside and just under the rim on the outside.\n\nCanakkale ware?		ΒΘ 140	Cleaning collapsed North Baulk fill		3426	Ceramic	Pottery	Est. Diam (rim) 0.21; Diam. (foot) 0.056; H. 0.063		Late 17th-19th A.D.	1675	1900	All Done	0					12 juin 2013					[54.657 TO 54.657]							GEOMETRYCOLLECTION(POINT Z (416.361 354.404 54.657))	POINT (23.7228536 37.97641951)		416.361, 354.404	n=find-spot\nd=2013-06-12T04:25:30Z\nx=0X1.A05C6A7EF9DB2P+8\ny=0X1.62676C8B43958P+8\nz=0X1.B54189374BC6AP+5\nv=0X1.5566666666666P+6\ns=0X1.8BD70A3D70A3DP+2\nhz=0X1.612B72EA61D95P+8\nh=0X1.8CCCCCCCCCCCDP+0	[1675 TO 1900]		2013-06-12T06:38:48+0300	2013-06-12T04:25:30Z	2013-06-12T07:25:30+0300	2014-07-28T12:25:29Z	Europe/Athens	[2013-06-12T03:38:48Z TO 2013-06-12T04:25:30Z]																	FE82906F-5385-4370-8473-04CAD812CF22	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
ΒΘ West 2013	Artifact	9	Water pipe	2013-06-12T04:15:01Z						Removed during cleaning of the North Baulk		3426								All Done	0					12 juin 2013					[57.954 TO 57.962]					ENVELOPE(420.524, 420.987, 352.733, 352.358)	ENVELOPE(23.72290102862212890500, 23.72290630960954516127, 37.97640455512544122030, 37.97640118733525582684)	GEOMETRYCOLLECTION(LINESTRING Z (420.987 352.358 57.954, 420.524 352.733 57.962))	LINESTRING (23.72290631 37.97640119, 23.72290103 37.97640456)		0.232, -0.188	n=find-spot\nd=2013-06-12T04:18:59Z\nx=0X1.A4FCAC083126FP+8\ny=0X1.605BA5E353F7DP+8\nz=0X1.CFA1CAC083127P+5\nv=0X1.C0261D950C84P+5\ns=0X1.B2F1A9FBE76C9P+2\nhz=0X1.5D8FEDCBA9877P+5\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=find-spot\nd=2013-06-12T04:18:59Z\nx=0X1.A48624DD2F1AAP+8\ny=0X1.60BBA5E353F7DP+8\nz=0X1.CFB22D0E56042P+5\nv=0X1.BF051EB851EB8P+5\ns=0X1.B25E353F7CED9P+2\nhz=0X1.2CFE4B17E4B18P+5\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-12T07:15:01+0300	2013-06-12T04:18:59Z	2013-06-12T07:18:59+0300	2014-07-28T12:25:30Z	Europe/Athens	[2013-06-12T04:15:01Z TO 2013-06-12T04:18:59Z]																	A6D0E0DB-1968-4624-95B4-5A9CFEDE4CA7																						0	0		0		
ΒΘ West 2013	Artifact	10	Turkish Pipe Fragments	2013-06-13T07:45:53Z			Fragment A: Whole shank with portion of sack shaped bowl preserved, with rouletting outlining keel. Additional band of rouletting below wreath. Very short shank with swollen stem socket. Flat termination with stamped hatched triangles below.\n\nRed slip (2.5YR 4/6).\n\nFragment B: non-joining fragment, part of bowl.\n\nThe findspot recorded for this object is not its original context. The object was found during cleaning of collapsed fill from the northern scarp of the trench, which had fallen down as a result of heavy rain during the previous winter.		ΒΘ 141	Cleaning collapsed North Baulk fill		3426	Terracotta	Misc. Clay Objects	P.L. 0.05; P.H. 0.024; Diam. (shank opening) 0.013					All Done	0					13 juin 2013					[54.355 TO 54.355]							GEOMETRYCOLLECTION(POINT Z (413.233 356.346 54.355))	POINT (23.72281794 37.97643694)		413.233, 356.346	n=find-spot\nd=2013-06-13T07:46:30Z\nx=0X1.9D3BA5E353F7DP+8\ny=0X1.64589374BC6A8P+8\nz=0X1.B2D70A3D70A3DP+5\nv=0X1.74E2FC962FC96P+6\ns=0X1.B6B020C49BA5EP+3\nhz=0X1.50B012345678AP+8\nh=0X1.8CCCCCCCCCCCDP+0			2013-06-13T10:45:53+0300	2013-06-13T07:46:30Z	2013-06-13T10:46:30+0300	2014-07-28T12:25:29Z	Europe/Athens	2013-06-13T07:45:53Z																	75B97592-FBB0-4695-AA57-BD1856B8163B	west:2019:b:0	AEF394AD-E157-48D5-9BB4-AB7260AE9A41																				0	0		0		
